,barcode,create_time,el_no,result
258,2321,1550241142.6607826,Line1,0
259,502320,1550241146.2236423,Line2,0
260,2322,1550241157.669578,Line1,1
261,502321,1550241161.2327332,Line2,1
262,502322,1550241176.2377048,Line2,1
263,2323,1550241172.673783,Line1,0
264,2324,1550241187.6873481,Line1,1
265,502323,1550241191.2503572,Line2,0
266,2325,1550241202.691736,Line1,1
267,502324,1550241206.2545698,Line2,1
268,2326,1550241217.6970994,Line1,1
269,502325,1550241221.259933,Line2,1
270,2327,1550241232.7041912,Line1,1
271,502326,1550241236.2670825,Line2,0
272,2328,1550241247.7071638,Line1,1
273,502327,1550241251.2715964,Line2,1
274,2329,1550241262.7148445,Line1,1
275,502328,1550241266.278952,Line2,1
276,502329,1550241281.2857323,Line2,1
277,2330,1550241277.7250116,Line1,0
278,502330,1550241296.2988012,Line2,1
279,2331,1550241292.7325468,Line1,0
280,502331,1550241311.3095634,Line2,1
281,2332,1550241307.7407782,Line1,0
282,502332,1550241326.3158734,Line2,0
283,2333,1550241322.7673151,Line1,1
284,502333,1550241341.3280797,Line2,0
285,2334,1550241337.780642,Line1,0
286,502334,1550241356.337602,Line2,1
287,2335,1550241352.7911234,Line1,1
288,502335,1550241371.3502574,Line2,1
289,2336,1550241367.8015983,Line1,1
290,502336,1550241386.3592637,Line2,1
291,2337,1550241382.8119774,Line1,1
292,2338,1550241397.8181005,Line1,1
293,502337,1550241401.3685687,Line2,1
294,2339,1550241412.8286815,Line1,1
295,502338,1550241416.3791778,Line2,1
296,2340,1550241427.838811,Line1,1
297,502339,1550241431.3870642,Line2,1
298,502340,1550241446.395801,Line2,1
299,2341,1550241442.8459547,Line1,0
300,502341,1550241461.4024892,Line2,1
301,2342,1550241457.8538158,Line1,1
302,2343,1550241472.8603542,Line1,1
303,502342,1550241476.407592,Line2,1
304,2344,1550241487.865511,Line1,1
305,502343,1550241491.414106,Line2,0
306,2345,1550241502.8727107,Line1,1
307,502344,1550241506.4200807,Line2,0
308,2346,1550241517.8788943,Line1,1
309,502345,1550241521.4271421,Line2,1
310,2347,1550241532.88532,Line1,0
311,502346,1550241536.4338808,Line2,0
312,2348,1550241547.9027567,Line1,1
313,502347,1550241551.435435,Line2,1
314,2349,1550241562.910909,Line1,1
315,502348,1550241566.4425266,Line2,1
316,2350,1550241577.9187276,Line1,0
317,502349,1550241581.4460416,Line2,0
318,2351,1550241592.9250169,Line1,1
319,502350,1550241596.4515946,Line2,1
320,2352,1550241607.9393349,Line1,1
321,502351,1550241611.4563725,Line2,1
322,2353,1550241622.9482968,Line1,1
323,502352,1550241626.4662857,Line2,1
324,2354,1550241637.956381,Line1,1
325,502353,1550241641.4733589,Line2,1
326,2355,1550241652.964264,Line1,1
327,502354,1550241656.4802823,Line2,1
328,2356,1550241667.9738746,Line1,1
329,502355,1550241671.4908464,Line2,1
330,2357,1550241682.982934,Line1,1
331,502356,1550241686.5022097,Line2,1
332,2358,1550241697.9933186,Line1,1
333,502357,1550241701.5104651,Line2,1
334,2359,1550241712.9967473,Line1,1
335,502358,1550241716.515031,Line2,0
336,2360,1550241727.997825,Line1,1
337,502359,1550241731.5305827,Line2,1
338,2361,1550241743.0061083,Line1,1
339,502360,1550241746.5400207,Line2,1
340,2362,1550241758.0131497,Line1,1
341,502361,1550241761.5457482,Line2,1
342,2363,1550241773.0211875,Line1,1
343,502362,1550241776.555115,Line2,1
344,2364,1550241788.0314353,Line1,1
345,502363,1550241791.5640352,Line2,1
346,2365,1550241803.0421534,Line1,1
347,502364,1550241806.576984,Line2,1
348,2366,1550241818.0513456,Line1,1
349,502365,1550241821.5829487,Line2,1
350,2367,1550241833.0594769,Line1,1
351,502366,1550241836.591411,Line2,1
352,502367,1550241851.5961199,Line2,1
353,2368,1550241848.064337,Line1,0
354,2369,1550241863.0695932,Line1,1
355,502368,1550241866.602727,Line2,0
356,2370,1550241878.076568,Line1,1
357,502369,1550241881.6073568,Line2,0
358,2371,1550241893.080711,Line1,1
359,502370,1550241896.613483,Line2,1
360,2372,1550241908.0903306,Line1,1
361,502371,1550241911.6229458,Line2,1
362,2373,1550241923.113083,Line1,1
363,502372,1550241926.6322403,Line2,1
364,502373,1550241941.64021,Line2,1
365,2374,1550241938.1219616,Line1,0
366,2375,1550241953.1284788,Line1,1
367,2376,1550241968.1313891,Line1,1
368,502374,1550241956.6459126,Line2,0
369,502375,1550241971.655696,Line2,1
370,2377,1550241983.1356933,Line1,1
371,502376,1550241986.6685183,Line2,1
372,2378,1550241998.1426828,Line1,1
373,502377,1550242001.6756122,Line2,1
374,2379,1550242013.1489222,Line1,1
375,502378,1550242016.683681,Line2,1
376,2380,1550242028.1582265,Line1,1
377,502379,1550242031.6911542,Line2,1
378,2381,1550242043.1653695,Line1,1
379,502380,1550242046.6991975,Line2,0
380,2382,1550242058.1658752,Line1,1
381,502381,1550242061.7000647,Line2,0
382,2383,1550242073.1762507,Line1,1
383,502382,1550242076.709047,Line2,1
384,2384,1550242088.183437,Line1,1
385,502383,1550242091.717393,Line2,1
386,2385,1550242103.1876261,Line1,1
387,502384,1550242106.7214818,Line2,1
388,502385,1550242121.727554,Line2,1
389,2386,1550242118.1936817,Line1,0
390,502386,1550242136.7338116,Line2,1
391,2387,1550242133.1997485,Line1,1
392,2388,1550242148.2284067,Line1,1
393,502387,1550242151.746667,Line2,1
394,2389,1550242163.2377625,Line1,1
395,502388,1550242166.7569127,Line2,0
396,2390,1550242178.2462392,Line1,1
397,502389,1550242181.7637503,Line2,1
398,2391,1550242193.2598944,Line1,1
399,502390,1550242196.77722,Line2,0
400,2392,1550242208.2667985,Line1,1
401,502391,1550242211.7853093,Line2,1
402,502392,1550242226.794421,Line2,1
403,2393,1550242223.2928448,Line1,0
404,2394,1550242238.308046,Line1,1
405,502393,1550242241.7952573,Line2,0
406,2395,1550242253.3142974,Line1,1
407,502394,1550242256.8016698,Line2,1
408,502395,1550242271.8044024,Line2,1
409,2396,1550242268.3227932,Line1,0
410,2397,1550242283.3265176,Line1,1
411,502396,1550242286.813732,Line2,0
412,2398,1550242298.3341327,Line1,1
413,502397,1550242301.8209705,Line2,1
414,502398,1550242316.8298259,Line2,1
415,2399,1550242313.3431866,Line1,0
416,502399,1550242331.8357413,Line2,1
417,2400,1550242328.3484654,Line1,1
418,2401,1550242343.3559525,Line1,1
419,502400,1550242346.8412685,Line2,1
420,2402,1550242358.3660226,Line1,1
421,502401,1550242361.852063,Line2,1
422,502402,1550242376.8596134,Line2,1
423,2403,1550242373.3725455,Line1,0
424,502403,1550242391.8724506,Line2,1
425,2404,1550242388.3842945,Line1,1
426,2405,1550242403.3987603,Line1,1
427,502404,1550242406.8859682,Line2,0
428,2406,1550242418.40744,Line1,1
429,502405,1550242421.899939,Line2,1
430,2407,1550242433.4200807,Line1,1
431,502406,1550242436.9071507,Line2,1
432,502407,1550242451.9153683,Line2,1
433,2408,1550242448.4282887,Line1,0
434,2409,1550242463.434115,Line1,1
435,502408,1550242466.9212523,Line2,0
436,2410,1550242478.4350774,Line1,1
437,502409,1550242481.9213755,Line2,1
438,2411,1550242493.4402533,Line1,1
439,502410,1550242496.9263964,Line2,1
440,2412,1550242508.4476056,Line1,1
441,502411,1550242511.9335604,Line2,1
442,2413,1550242523.4545486,Line1,1
443,502412,1550242526.940694,Line2,1
444,2414,1550242538.4623668,Line1,1
445,502413,1550242541.9493084,Line2,0
446,2415,1550242553.469095,Line1,1
447,502414,1550242556.955471,Line2,1
448,2416,1550242568.4757001,Line1,1
449,502415,1550242571.9636586,Line2,1
450,502416,1550242586.9702966,Line2,1
451,2417,1550242583.483281,Line1,0
452,2418,1550242598.4899786,Line1,1
453,502417,1550242601.9763408,Line2,0
454,2419,1550242613.5130267,Line1,1
455,502418,1550242616.9832723,Line2,1
456,2420,1550242628.5156672,Line1,1
457,502419,1550242631.9869735,Line2,1
458,2421,1550242643.5214307,Line1,1
459,502420,1550242646.9918175,Line2,1
460,2422,1550242658.5298574,Line1,1
461,502421,1550242662.0007193,Line2,0
462,2423,1550242673.5354,Line1,1
463,502422,1550242677.0070062,Line2,1
464,2424,1550242688.5428925,Line1,1
465,502423,1550242692.01431,Line2,1
466,2425,1550242703.5512621,Line1,1
467,502424,1550242707.0243545,Line2,1
468,2426,1550242718.560241,Line1,1
469,502425,1550242722.0462215,Line2,1
470,2427,1550242733.568264,Line1,1
471,502426,1550242737.0561914,Line2,1
472,2428,1550242748.5764506,Line1,1
473,502427,1550242752.0859163,Line2,0
474,2429,1550242763.590708,Line1,1
475,502428,1550242767.1072567,Line2,1
476,2430,1550242778.5965168,Line1,1
477,502429,1550242782.1145337,Line2,0
478,2431,1550242793.6066744,Line1,1
479,502430,1550242797.1243134,Line2,1
480,2432,1550242808.6155975,Line1,1
481,502431,1550242812.1325276,Line2,1
482,2433,1550242823.6227467,Line1,0
483,502432,1550242827.1557033,Line2,0
484,2434,1550242838.6383126,Line1,1
485,502433,1550242842.1612866,Line2,1
486,2435,1550242853.649133,Line1,1
487,502434,1550242857.1663568,Line2,1
488,2436,1550242868.6564193,Line1,1
489,502435,1550242872.172507,Line2,0
490,2437,1550242883.6636634,Line1,1
491,502436,1550242887.180764,Line2,1
492,2438,1550242898.6728768,Line1,1
493,502437,1550242902.190081,Line2,1
494,502438,1550242917.2118592,Line2,1
495,2439,1550242913.6802187,Line1,0
496,2440,1550242928.68679,Line1,1
497,502439,1550242932.2186375,Line2,0
498,2441,1550242943.693792,Line1,1
499,502440,1550242947.2279122,Line2,1
500,2442,1550242958.7034986,Line1,1
501,502441,1550242962.2351117,Line2,1
502,2443,1550242973.7139442,Line1,1
503,502442,1550242977.2468548,Line2,1
504,502443,1550242992.2539315,Line2,1
505,2444,1550242988.7213285,Line1,0
506,502444,1550243007.262423,Line2,1
507,2445,1550243003.7233498,Line1,1
508,2446,1550243018.7293832,Line1,1
509,502445,1550243022.2779155,Line2,1
510,2447,1550243033.7377827,Line1,1
511,502446,1550243037.2860267,Line2,0
512,2448,1550243048.7436712,Line1,0
513,502447,1550243052.291207,Line2,0
514,502448,1550243067.2979188,Line2,1
515,2449,1550243063.7512035,Line1,0
516,2450,1550243078.75886,Line1,1
517,502449,1550243082.3057811,Line2,0
518,502450,1550243097.3128736,Line2,1
519,2451,1550243093.7644527,Line1,0
520,502451,1550243112.3236983,Line2,1
521,2452,1550243108.7776513,Line1,1
522,502452,1550243127.33259,Line2,1
523,2453,1550243123.7996485,Line1,1
524,502453,1550243142.3362436,Line2,1
525,2454,1550243138.8082278,Line1,0
526,502454,1550243157.3400283,Line2,1
527,2455,1550243153.8082733,Line1,1
528,502455,1550243172.346009,Line2,1
529,2456,1550243168.8133423,Line1,0
530,2457,1550243183.8219435,Line1,1
531,502456,1550243187.359823,Line2,0
532,2458,1550243198.8333387,Line1,1
533,502457,1550243202.3676713,Line2,1
534,2459,1550243213.8430471,Line1,1
535,502458,1550243217.375672,Line2,1
536,2460,1550243228.8510907,Line1,1
537,502459,1550243232.3855636,Line2,0
538,502460,1550243247.391973,Line2,1
539,2461,1550243243.8588195,Line1,0
540,502461,1550243262.3955438,Line2,1
541,2462,1550243258.8627949,Line1,0
542,502462,1550243277.4037764,Line2,1
543,2463,1550243273.8716688,Line1,1
544,502463,1550243292.4123776,Line2,1
545,2464,1550243288.8797748,Line1,1
546,2465,1550243303.8897395,Line1,1
547,502464,1550243307.4226866,Line2,1
548,2466,1550243318.8939755,Line1,0
549,502465,1550243322.4265945,Line2,0
550,2467,1550243333.9024527,Line1,1
551,2468,1550243348.909888,Line1,1
552,502466,1550243337.4342334,Line2,0
553,502467,1550243352.4437554,Line2,1
554,2469,1550243363.9183097,Line1,1
555,502468,1550243367.45313,Line2,1
556,502469,1550243382.4581969,Line2,1
557,2470,1550243378.926555,Line1,0
558,502470,1550243397.4683528,Line2,1
559,2471,1550243393.9356358,Line1,0
560,502471,1550243412.4818015,Line2,1
561,2472,1550243408.9501836,Line1,1
562,502472,1550243427.4904766,Line2,1
563,2473,1550243423.955692,Line1,1
564,2474,1550243438.9650068,Line1,1
565,502473,1550243442.497644,Line2,1
566,2475,1550243453.9803603,Line1,1
567,502474,1550243457.4977076,Line2,1
568,2476,1550243468.9888773,Line1,1
569,502475,1550243472.5205128,Line2,1
570,2477,1550243483.996729,Line1,1
571,502476,1550243487.529554,Line2,1
572,2478,1550243499.010036,Line1,1
573,502477,1550243502.5439732,Line2,0
574,2479,1550243514.0172448,Line1,1
575,502478,1550243517.5499675,Line2,1
576,502479,1550243532.5580962,Line2,1
577,2480,1550243529.0242321,Line1,0
578,502480,1550243547.559371,Line2,1
579,2481,1550243544.0275638,Line1,0
580,502481,1550243562.5665507,Line2,1
581,502482,1550243577.5723188,Line2,1
582,2482,1550243559.0348406,Line1,0
583,2483,1550243574.0406673,Line1,1
584,502483,1550243592.5808935,Line2,1
585,502484,1550243607.5891116,Line2,1
586,2484,1550243589.0478907,Line1,0
587,2485,1550243604.0721703,Line1,1
588,502485,1550243622.591007,Line2,1
589,2486,1550243619.073838,Line1,1
590,502486,1550243637.6000152,Line2,1
591,2487,1550243634.083811,Line1,1
592,2488,1550243649.088946,Line1,1
593,502487,1550243652.606211,Line2,1
594,2489,1550243664.096282,Line1,1
595,502488,1550243667.6145253,Line2,0
596,2490,1550243679.101539,Line1,1
597,502489,1550243682.6200974,Line2,1
598,2491,1550243694.1101952,Line1,1
599,502490,1550243697.6274729,Line2,0
600,2492,1550243709.11648,Line1,1
601,502491,1550243712.634801,Line2,1
602,2493,1550243724.1251423,Line1,1
603,502492,1550243727.6432884,Line2,1
604,2494,1550243739.13309,Line1,1
605,502493,1550243742.6503384,Line2,1
606,2495,1550243754.13922,Line1,1
607,502494,1550243757.6647713,Line2,1
608,2496,1550243769.1545482,Line1,1
609,502495,1550243772.6719134,Line2,1
610,2497,1550243784.1619825,Line1,1
611,502496,1550243787.679273,Line2,1
612,2498,1550243799.1691341,Line1,1
613,502497,1550243802.6832135,Line2,1
614,2499,1550243814.1732562,Line1,1
615,502498,1550243817.6905766,Line2,1
616,2500,1550243829.1804476,Line1,1
617,502499,1550243832.698628,Line2,0
618,2501,1550243844.1885092,Line1,1
619,502500,1550243847.7020607,Line2,1
620,502501,1550243862.7096334,Line2,1
621,2502,1550243859.1912084,Line1,0
622,2503,1550243874.2056656,Line1,1
623,502502,1550243877.7210753,Line2,0
624,502503,1550243892.7245896,Line2,1
625,2504,1550243889.2207246,Line1,0
626,2505,1550243904.2265513,Line1,1
627,2506,1550243919.2317474,Line1,1
628,502504,1550243907.7284174,Line2,0
629,502505,1550243922.7338006,Line2,1
630,2507,1550243934.2393782,Line1,0
631,502506,1550243937.7420073,Line2,0
632,2508,1550243949.246919,Line1,1
633,502507,1550243952.7488945,Line2,1
634,2509,1550243964.2537515,Line1,1
635,502508,1550243967.756359,Line2,1
636,2510,1550243979.2650676,Line1,1
637,502509,1550243982.7667093,Line2,1
638,2511,1550243994.2703824,Line1,1
639,502510,1550243997.77395,Line2,1
640,2512,1550244009.2773516,Line1,1
641,502511,1550244012.7945588,Line2,1
642,2513,1550244024.2836914,Line1,1
643,502512,1550244027.8010447,Line2,1
644,502513,1550244042.8227808,Line2,1
645,2514,1550244039.2898476,Line1,0
646,502514,1550244057.8437264,Line2,1
647,2515,1550244054.2940657,Line1,1
648,2516,1550244069.318681,Line1,1
649,502515,1550244072.8536065,Line2,1
650,502516,1550244087.8618293,Line2,1
651,2517,1550244084.3289568,Line1,0
652,502517,1550244102.8916664,Line2,1
653,2518,1550244099.3410933,Line1,1
654,2519,1550244114.342528,Line1,1
655,502518,1550244117.8929412,Line2,1
656,2520,1550244129.3537247,Line1,1
657,502519,1550244132.9031773,Line2,1
658,2521,1550244144.3619032,Line1,1
659,502520,1550244147.91141,Line2,1
660,2522,1550244159.3705885,Line1,1
661,502521,1550244162.9191313,Line2,1
662,502522,1550244177.9264784,Line2,1
663,2523,1550244174.3769515,Line1,0
664,502523,1550244192.9310055,Line2,1
665,2524,1550244189.3835492,Line1,1
666,2525,1550244204.3934045,Line1,1
667,502524,1550244207.943838,Line2,1
668,2526,1550244219.4014597,Line1,1
669,502525,1550244222.9509254,Line2,1
670,2527,1550244234.4243014,Line1,1
671,502526,1550244237.957276,Line2,1
672,2528,1550244249.433091,Line1,1
673,502527,1550244252.967909,Line2,1
674,2529,1550244264.4590936,Line1,1
675,502528,1550244267.97732,Line2,1
676,2530,1550244279.480761,Line1,0
677,502529,1550244282.9824855,Line2,0
678,502530,1550244297.9969583,Line2,1
679,2531,1550244294.4810915,Line1,0
680,502531,1550244312.9972527,Line2,1
681,502532,1550244328.0061707,Line2,1
682,2532,1550244309.48868,Line1,0
683,2533,1550244324.5034657,Line1,1
684,502533,1550244343.0204475,Line2,1
685,2534,1550244339.518882,Line1,1
686,502534,1550244358.028468,Line2,1
687,2535,1550244354.5268016,Line1,1
688,2536,1550244369.535014,Line1,1
689,502535,1550244373.0368724,Line2,1
690,2537,1550244384.5451698,Line1,1
691,502536,1550244388.0455706,Line2,1
692,2538,1550244399.5523343,Line1,1
693,502537,1550244403.069598,Line2,1
694,2539,1550244414.5584073,Line1,1
695,502538,1550244418.0766623,Line2,1
696,2540,1550244429.564317,Line1,1
697,502539,1550244433.0825417,Line2,1
698,502540,1550244448.0877585,Line2,1
699,2541,1550244444.5706015,Line1,0
700,502541,1550244463.0928433,Line2,1
701,2542,1550244459.5752456,Line1,1
702,502542,1550244478.1039443,Line2,1
703,2543,1550244474.5857675,Line1,0
704,502543,1550244493.11066,Line2,1
705,2544,1550244489.592119,Line1,1
706,2545,1550244504.5984876,Line1,1
