,AI_result,OP_result,barcode,create_time,el_no
138,1,1,2261,1550240242.0086527,Line1
139,1,1,502260,1550240245.7456172,Line2
140,0,0,2262,1550240257.031321,Line1
141,0,0,502261,1550240260.7524087,Line2
142,1,1,502262,1550240275.7660687,Line2
143,0,0,2263,1550240272.0444486,Line1
144,1,1,2264,1550240287.0518136,Line1
145,0,0,502263,1550240290.7735238,Line2
146,1,1,502264,1550240305.7833283,Line2
147,0,0,2265,1550240302.0640962,Line1
148,1,1,502265,1550240320.794857,Line2
149,1,1,2266,1550240317.0755563,Line1
150,1,1,502266,1550240335.7970834,Line2
151,0,0,2267,1550240332.090411,Line1
152,1,1,2268,1550240347.0916674,Line1
153,0,0,502267,1550240350.7977233,Line2
154,1,1,2269,1550240362.098756,Line1
155,1,1,502268,1550240365.8036344,Line2
156,1,1,2270,1550240377.1055071,Line1
157,1,1,502269,1550240380.811319,Line2
158,1,1,2271,1550240392.1164296,Line1
159,1,1,502270,1550240395.8220544,Line2
160,1,1,502271,1550240410.8326101,Line2
161,0,0,2272,1550240407.1258788,Line1
162,1,1,502272,1550240425.845044,Line2
163,1,1,2273,1550240422.1556778,Line1
164,1,1,502273,1550240440.8598516,Line2
165,0,0,2274,1550240437.2938578,Line1
166,1,1,502274,1550240455.8749602,Line2
167,1,1,2275,1550240452.3105714,Line1
168,1,1,2276,1550240467.3169296,Line1
169,0,0,502275,1550240470.877892,Line2
170,1,1,2277,1550240482.3185842,Line1
171,1,1,502276,1550240485.8839881,Line2
172,1,1,2278,1550240497.3284853,Line1
173,1,1,502277,1550240500.8927324,Line2
174,1,1,2279,1550240512.3293874,Line1
175,1,1,502278,1550240515.8988712,Line2
176,1,1,2280,1550240527.3440692,Line1
177,0,0,502279,1550240530.9093056,Line2
178,1,1,2281,1550240542.3506305,Line1
179,1,1,502280,1550240545.9191725,Line2
180,1,1,2282,1550240557.3563416,Line1
181,1,1,502281,1550240560.921501,Line2
182,1,1,2283,1550240572.3635285,Line1
183,0,0,502282,1550240575.9277692,Line2
184,1,1,2284,1550240587.369931,Line1
185,1,1,502283,1550240590.9343944,Line2
186,1,1,2285,1550240602.3714147,Line1
187,1,1,502284,1550240605.9366598,Line2
188,1,1,2286,1550240617.3798494,Line1
189,1,1,502285,1550240620.9448805,Line2
190,1,1,2287,1550240632.3887541,Line1
191,1,1,502286,1550240635.95291,Line2
192,1,1,2288,1550240647.3959334,Line1
193,0,0,502287,1550240650.9602036,Line2
194,1,1,2289,1550240662.4015818,Line1
195,1,1,502288,1550240665.9630523,Line2
196,1,1,502289,1550240680.9711406,Line2
197,0,0,2290,1550240677.4060867,Line1
198,1,1,502290,1550240695.9838412,Line2
199,1,1,2291,1550240692.418475,Line1
200,1,1,2292,1550240707.4261897,Line1
201,1,1,502291,1550240710.991455,Line2
202,1,1,2293,1550240722.4345548,Line1
203,1,1,502292,1550240725.9961483,Line2
204,1,1,502293,1550240741.0035188,Line2
205,0,0,2294,1550240737.4393177,Line1
206,1,1,502294,1550240756.01646,Line2
207,1,1,2295,1550240752.4511576,Line1
208,1,1,2296,1550240767.4573636,Line1
209,0,0,502295,1550240771.0225015,Line2
210,1,1,2297,1550240782.463239,Line1
211,1,1,502296,1550240786.0286326,Line2
212,0,0,2298,1550240797.4720235,Line1
213,0,0,502297,1550240801.0684266,Line2
214,1,1,2299,1550240812.4866083,Line1
215,1,1,2300,1550240827.4881434,Line1
216,0,0,502298,1550240816.0801902,Line2
217,0,0,502299,1550240831.0835853,Line2
218,0,0,2301,1550240842.4958715,Line1
219,1,1,502300,1550240846.092256,Line2
220,1,1,502301,1550240861.0924723,Line2
221,1,1,2302,1550240857.5079784,Line1
222,1,1,2303,1550240872.5220056,Line1
223,1,1,2304,1550240887.5281155,Line1
224,0,0,502302,1550240876.101835,Line2
225,1,1,502303,1550240891.1090815,Line2
226,1,1,502304,1550240906.1159656,Line2
227,0,0,2305,1550240902.5352523,Line1
228,1,1,502305,1550240921.1220195,Line2
229,1,1,2306,1550240917.5432453,Line1
230,1,1,2307,1550240932.5482967,Line1
231,1,1,502306,1550240936.128003,Line2
232,1,1,2308,1550240947.5555892,Line1
233,1,1,502307,1550240951.136386,Line2
234,1,1,2309,1550240962.565015,Line1
235,1,1,502308,1550240966.1456797,Line2
236,1,1,2310,1550240977.5720835,Line1
237,1,1,502309,1550240981.1534534,Line2
238,1,1,2311,1550240992.5810225,Line1
239,1,1,502310,1550240996.1627028,Line2
240,1,1,2312,1550241007.58805,Line1
241,1,1,502311,1550241011.1677678,Line2
242,1,1,2313,1550241022.5963073,Line1
243,1,1,502312,1550241026.168333,Line2
244,1,1,2314,1550241037.6116498,Line1
245,1,1,502313,1550241041.1758394,Line2
246,1,1,2315,1550241052.6200335,Line1
247,1,1,502314,1550241056.183926,Line2
248,1,1,2316,1550241067.627734,Line1
249,0,0,502315,1550241071.191898,Line2
250,1,1,2317,1550241082.6331792,Line1
251,1,1,502316,1550241086.198629,Line2
252,1,1,2318,1550241097.6406991,Line1
253,1,1,502317,1550241101.204823,Line2
254,1,1,2319,1550241112.647187,Line1
255,1,1,502318,1550241116.2111025,Line2
256,1,1,2320,1550241127.6531403,Line1
257,1,1,502319,1550241131.2174323,Line2
258,0,0,2321,1550241142.6607826,Line1
259,0,0,502320,1550241146.2236423,Line2
260,1,1,2322,1550241157.669578,Line1
261,1,1,502321,1550241161.2327332,Line2
262,1,1,502322,1550241176.2377048,Line2
263,0,0,2323,1550241172.673783,Line1
264,1,1,2324,1550241187.6873481,Line1
265,0,0,502323,1550241191.2503572,Line2
266,1,1,2325,1550241202.691736,Line1
267,1,1,502324,1550241206.2545698,Line2
268,1,1,2326,1550241217.6970994,Line1
269,1,1,502325,1550241221.259933,Line2
270,1,1,2327,1550241232.7041912,Line1
271,0,0,502326,1550241236.2670825,Line2
272,1,1,2328,1550241247.7071638,Line1
273,1,1,502327,1550241251.2715964,Line2
274,1,1,2329,1550241262.7148445,Line1
275,1,1,502328,1550241266.278952,Line2
276,1,1,502329,1550241281.2857323,Line2
277,0,0,2330,1550241277.7250116,Line1
278,1,1,502330,1550241296.2988012,Line2
279,0,0,2331,1550241292.7325468,Line1
280,1,1,502331,1550241311.3095634,Line2
281,0,0,2332,1550241307.7407782,Line1
282,0,0,502332,1550241326.3158734,Line2
283,1,1,2333,1550241322.7673151,Line1
284,0,0,502333,1550241341.3280797,Line2
285,0,0,2334,1550241337.780642,Line1
286,1,1,502334,1550241356.337602,Line2
287,1,1,2335,1550241352.7911234,Line1
288,1,1,502335,1550241371.3502574,Line2
289,1,1,2336,1550241367.8015983,Line1
290,1,1,502336,1550241386.3592637,Line2
291,1,1,2337,1550241382.8119774,Line1
292,1,1,2338,1550241397.8181005,Line1
293,1,1,502337,1550241401.3685687,Line2
294,1,1,2339,1550241412.8286815,Line1
295,1,1,502338,1550241416.3791778,Line2
296,1,1,2340,1550241427.838811,Line1
297,1,1,502339,1550241431.3870642,Line2
298,1,1,502340,1550241446.395801,Line2
299,0,0,2341,1550241442.8459547,Line1
300,1,1,502341,1550241461.4024892,Line2
301,1,1,2342,1550241457.8538158,Line1
302,1,1,2343,1550241472.8603542,Line1
303,1,1,502342,1550241476.407592,Line2
304,1,1,2344,1550241487.865511,Line1
305,0,0,502343,1550241491.414106,Line2
306,1,1,2345,1550241502.8727107,Line1
307,0,0,502344,1550241506.4200807,Line2
308,1,1,2346,1550241517.8788943,Line1
309,1,1,502345,1550241521.4271421,Line2
310,0,0,2347,1550241532.88532,Line1
311,0,0,502346,1550241536.4338808,Line2
312,1,1,2348,1550241547.9027567,Line1
313,1,1,502347,1550241551.435435,Line2
314,1,1,2349,1550241562.910909,Line1
315,1,1,502348,1550241566.4425266,Line2
316,0,0,2350,1550241577.9187276,Line1
317,0,0,502349,1550241581.4460416,Line2
318,1,1,2351,1550241592.9250169,Line1
319,1,1,502350,1550241596.4515946,Line2
320,1,1,2352,1550241607.9393349,Line1
321,1,1,502351,1550241611.4563725,Line2
322,1,1,2353,1550241622.9482968,Line1
323,1,1,502352,1550241626.4662857,Line2
324,1,1,2354,1550241637.956381,Line1
325,1,1,502353,1550241641.4733589,Line2
326,1,1,2355,1550241652.964264,Line1
327,1,1,502354,1550241656.4802823,Line2
328,1,1,2356,1550241667.9738746,Line1
329,1,1,502355,1550241671.4908464,Line2
330,1,1,2357,1550241682.982934,Line1
331,1,1,502356,1550241686.5022097,Line2
332,1,1,2358,1550241697.9933186,Line1
333,1,1,502357,1550241701.5104651,Line2
334,1,1,2359,1550241712.9967473,Line1
335,0,0,502358,1550241716.515031,Line2
336,1,1,2360,1550241727.997825,Line1
337,1,1,502359,1550241731.5305827,Line2
338,1,1,2361,1550241743.0061083,Line1
339,1,1,502360,1550241746.5400207,Line2
340,1,1,2362,1550241758.0131497,Line1
341,1,1,502361,1550241761.5457482,Line2
342,1,1,2363,1550241773.0211875,Line1
343,1,1,502362,1550241776.555115,Line2
344,1,1,2364,1550241788.0314353,Line1
345,1,1,502363,1550241791.5640352,Line2
346,1,1,2365,1550241803.0421534,Line1
347,1,1,502364,1550241806.576984,Line2
348,1,1,2366,1550241818.0513456,Line1
349,1,1,502365,1550241821.5829487,Line2
350,1,1,2367,1550241833.0594769,Line1
351,1,1,502366,1550241836.591411,Line2
352,1,1,502367,1550241851.5961199,Line2
353,0,0,2368,1550241848.064337,Line1
354,1,1,2369,1550241863.0695932,Line1
355,0,0,502368,1550241866.602727,Line2
356,1,1,2370,1550241878.076568,Line1
357,0,0,502369,1550241881.6073568,Line2
358,1,1,2371,1550241893.080711,Line1
359,1,1,502370,1550241896.613483,Line2
360,1,1,2372,1550241908.0903306,Line1
361,1,1,502371,1550241911.6229458,Line2
362,1,1,2373,1550241923.113083,Line1
363,1,1,502372,1550241926.6322403,Line2
364,1,1,502373,1550241941.64021,Line2
365,0,0,2374,1550241938.1219616,Line1
366,1,1,2375,1550241953.1284788,Line1
367,1,1,2376,1550241968.1313891,Line1
368,0,0,502374,1550241956.6459126,Line2
369,1,1,502375,1550241971.655696,Line2
370,1,1,2377,1550241983.1356933,Line1
371,1,1,502376,1550241986.6685183,Line2
372,1,1,2378,1550241998.1426828,Line1
373,1,1,502377,1550242001.6756122,Line2
374,1,1,2379,1550242013.1489222,Line1
375,1,1,502378,1550242016.683681,Line2
376,1,1,2380,1550242028.1582265,Line1
377,1,1,502379,1550242031.6911542,Line2
378,1,1,2381,1550242043.1653695,Line1
379,0,0,502380,1550242046.6991975,Line2
380,1,1,2382,1550242058.1658752,Line1
381,0,0,502381,1550242061.7000647,Line2
382,1,1,2383,1550242073.1762507,Line1
383,1,1,502382,1550242076.709047,Line2
384,1,1,2384,1550242088.183437,Line1
385,1,1,502383,1550242091.717393,Line2
386,1,1,2385,1550242103.1876261,Line1
387,1,1,502384,1550242106.7214818,Line2
388,1,1,502385,1550242121.727554,Line2
389,0,0,2386,1550242118.1936817,Line1
390,1,1,502386,1550242136.7338116,Line2
391,1,1,2387,1550242133.1997485,Line1
392,1,1,2388,1550242148.2284067,Line1
393,1,1,502387,1550242151.746667,Line2
394,1,1,2389,1550242163.2377625,Line1
395,0,0,502388,1550242166.7569127,Line2
396,1,1,2390,1550242178.2462392,Line1
397,1,1,502389,1550242181.7637503,Line2
398,1,1,2391,1550242193.2598944,Line1
399,0,0,502390,1550242196.77722,Line2
400,1,1,2392,1550242208.2667985,Line1
401,1,1,502391,1550242211.7853093,Line2
402,1,1,502392,1550242226.794421,Line2
403,0,0,2393,1550242223.2928448,Line1
404,1,1,2394,1550242238.308046,Line1
405,0,0,502393,1550242241.7952573,Line2
406,1,1,2395,1550242253.3142974,Line1
407,1,1,502394,1550242256.8016698,Line2
408,1,1,502395,1550242271.8044024,Line2
409,0,0,2396,1550242268.3227932,Line1
410,1,1,2397,1550242283.3265176,Line1
411,0,0,502396,1550242286.813732,Line2
412,1,1,2398,1550242298.3341327,Line1
413,1,1,502397,1550242301.8209705,Line2
414,1,1,502398,1550242316.8298259,Line2
415,0,0,2399,1550242313.3431866,Line1
416,1,1,502399,1550242331.8357413,Line2
417,1,1,2400,1550242328.3484654,Line1
418,1,1,2401,1550242343.3559525,Line1
419,1,1,502400,1550242346.8412685,Line2
420,1,1,2402,1550242358.3660226,Line1
421,1,1,502401,1550242361.852063,Line2
422,1,1,502402,1550242376.8596134,Line2
423,0,0,2403,1550242373.3725455,Line1
424,1,1,502403,1550242391.8724506,Line2
425,1,1,2404,1550242388.3842945,Line1
426,1,1,2405,1550242403.3987603,Line1
427,0,0,502404,1550242406.8859682,Line2
428,1,1,2406,1550242418.40744,Line1
429,1,1,502405,1550242421.899939,Line2
430,1,1,2407,1550242433.4200807,Line1
431,1,1,502406,1550242436.9071507,Line2
432,1,1,502407,1550242451.9153683,Line2
433,0,0,2408,1550242448.4282887,Line1
434,1,1,2409,1550242463.434115,Line1
435,0,0,502408,1550242466.9212523,Line2
436,1,1,2410,1550242478.4350774,Line1
437,1,1,502409,1550242481.9213755,Line2
438,1,1,2411,1550242493.4402533,Line1
439,1,1,502410,1550242496.9263964,Line2
440,1,1,2412,1550242508.4476056,Line1
441,1,1,502411,1550242511.9335604,Line2
442,1,1,2413,1550242523.4545486,Line1
443,1,1,502412,1550242526.940694,Line2
444,1,1,2414,1550242538.4623668,Line1
445,0,0,502413,1550242541.9493084,Line2
446,1,1,2415,1550242553.469095,Line1
447,1,1,502414,1550242556.955471,Line2
448,1,1,2416,1550242568.4757001,Line1
449,1,1,502415,1550242571.9636586,Line2
450,1,1,502416,1550242586.9702966,Line2
451,0,0,2417,1550242583.483281,Line1
452,1,1,2418,1550242598.4899786,Line1
453,0,0,502417,1550242601.9763408,Line2
454,1,1,2419,1550242613.5130267,Line1
455,1,1,502418,1550242616.9832723,Line2
456,1,1,2420,1550242628.5156672,Line1
457,1,1,502419,1550242631.9869735,Line2
458,1,1,2421,1550242643.5214307,Line1
459,1,1,502420,1550242646.9918175,Line2
460,1,1,2422,1550242658.5298574,Line1
461,0,0,502421,1550242662.0007193,Line2
462,1,1,2423,1550242673.5354,Line1
463,1,1,502422,1550242677.0070062,Line2
464,1,1,2424,1550242688.5428925,Line1
465,1,1,502423,1550242692.01431,Line2
466,1,1,2425,1550242703.5512621,Line1
467,1,1,502424,1550242707.0243545,Line2
468,1,1,2426,1550242718.560241,Line1
469,1,1,502425,1550242722.0462215,Line2
470,1,1,2427,1550242733.568264,Line1
471,1,1,502426,1550242737.0561914,Line2
472,1,1,2428,1550242748.5764506,Line1
473,0,0,502427,1550242752.0859163,Line2
474,1,1,2429,1550242763.590708,Line1
475,1,1,502428,1550242767.1072567,Line2
476,1,1,2430,1550242778.5965168,Line1
477,0,0,502429,1550242782.1145337,Line2
478,1,1,2431,1550242793.6066744,Line1
479,1,1,502430,1550242797.1243134,Line2
480,1,1,2432,1550242808.6155975,Line1
481,1,1,502431,1550242812.1325276,Line2
482,0,0,2433,1550242823.6227467,Line1
483,0,0,502432,1550242827.1557033,Line2
484,1,1,2434,1550242838.6383126,Line1
485,1,1,502433,1550242842.1612866,Line2
486,1,1,2435,1550242853.649133,Line1
487,1,1,502434,1550242857.1663568,Line2
488,1,1,2436,1550242868.6564193,Line1
489,0,0,502435,1550242872.172507,Line2
490,1,1,2437,1550242883.6636634,Line1
491,1,1,502436,1550242887.180764,Line2
492,1,1,2438,1550242898.6728768,Line1
493,1,1,502437,1550242902.190081,Line2
494,1,1,502438,1550242917.2118592,Line2
495,0,0,2439,1550242913.6802187,Line1
496,1,1,2440,1550242928.68679,Line1
497,0,0,502439,1550242932.2186375,Line2
498,1,1,2441,1550242943.693792,Line1
499,1,1,502440,1550242947.2279122,Line2
500,1,1,2442,1550242958.7034986,Line1
501,1,1,502441,1550242962.2351117,Line2
502,1,1,2443,1550242973.7139442,Line1
503,1,1,502442,1550242977.2468548,Line2
504,1,1,502443,1550242992.2539315,Line2
505,0,0,2444,1550242988.7213285,Line1
506,1,1,502444,1550243007.262423,Line2
507,1,1,2445,1550243003.7233498,Line1
508,1,1,2446,1550243018.7293832,Line1
509,1,1,502445,1550243022.2779155,Line2
510,1,1,2447,1550243033.7377827,Line1
511,0,0,502446,1550243037.2860267,Line2
512,0,0,2448,1550243048.7436712,Line1
513,0,0,502447,1550243052.291207,Line2
514,1,1,502448,1550243067.2979188,Line2
515,0,0,2449,1550243063.7512035,Line1
516,1,1,2450,1550243078.75886,Line1
517,0,0,502449,1550243082.3057811,Line2
518,1,1,502450,1550243097.3128736,Line2
519,0,0,2451,1550243093.7644527,Line1
520,1,1,502451,1550243112.3236983,Line2
521,1,1,2452,1550243108.7776513,Line1
522,1,1,502452,1550243127.33259,Line2
523,1,1,2453,1550243123.7996485,Line1
524,1,1,502453,1550243142.3362436,Line2
525,0,0,2454,1550243138.8082278,Line1
526,1,1,502454,1550243157.3400283,Line2
527,1,1,2455,1550243153.8082733,Line1
528,1,1,502455,1550243172.346009,Line2
529,0,0,2456,1550243168.8133423,Line1
530,1,1,2457,1550243183.8219435,Line1
531,0,0,502456,1550243187.359823,Line2
532,1,1,2458,1550243198.8333387,Line1
533,1,1,502457,1550243202.3676713,Line2
534,1,1,2459,1550243213.8430471,Line1
535,1,1,502458,1550243217.375672,Line2
536,1,1,2460,1550243228.8510907,Line1
537,0,0,502459,1550243232.3855636,Line2
538,1,1,502460,1550243247.391973,Line2
539,0,0,2461,1550243243.8588195,Line1
540,1,1,502461,1550243262.3955438,Line2
541,0,0,2462,1550243258.8627949,Line1
542,1,1,502462,1550243277.4037764,Line2
543,1,1,2463,1550243273.8716688,Line1
544,1,1,502463,1550243292.4123776,Line2
545,1,1,2464,1550243288.8797748,Line1
546,1,1,2465,1550243303.8897395,Line1
547,1,1,502464,1550243307.4226866,Line2
548,0,0,2466,1550243318.8939755,Line1
549,0,0,502465,1550243322.4265945,Line2
550,1,1,2467,1550243333.9024527,Line1
551,1,1,2468,1550243348.909888,Line1
552,0,0,502466,1550243337.4342334,Line2
553,1,1,502467,1550243352.4437554,Line2
554,1,1,2469,1550243363.9183097,Line1
555,1,1,502468,1550243367.45313,Line2
556,1,1,502469,1550243382.4581969,Line2
557,0,0,2470,1550243378.926555,Line1
558,1,1,502470,1550243397.4683528,Line2
559,0,0,2471,1550243393.9356358,Line1
560,1,1,502471,1550243412.4818015,Line2
561,1,1,2472,1550243408.9501836,Line1
562,1,1,502472,1550243427.4904766,Line2
563,1,1,2473,1550243423.955692,Line1
564,1,1,2474,1550243438.9650068,Line1
565,1,1,502473,1550243442.497644,Line2
566,1,1,2475,1550243453.9803603,Line1
567,1,1,502474,1550243457.4977076,Line2
568,1,1,2476,1550243468.9888773,Line1
569,1,1,502475,1550243472.5205128,Line2
570,1,1,2477,1550243483.996729,Line1
571,1,1,502476,1550243487.529554,Line2
572,1,1,2478,1550243499.010036,Line1
573,0,0,502477,1550243502.5439732,Line2
574,1,1,2479,1550243514.0172448,Line1
575,1,1,502478,1550243517.5499675,Line2
576,1,1,502479,1550243532.5580962,Line2
577,0,0,2480,1550243529.0242321,Line1
578,1,1,502480,1550243547.559371,Line2
579,0,0,2481,1550243544.0275638,Line1
580,1,1,502481,1550243562.5665507,Line2
581,1,1,502482,1550243577.5723188,Line2
582,0,0,2482,1550243559.0348406,Line1
583,1,1,2483,1550243574.0406673,Line1
584,1,1,502483,1550243592.5808935,Line2
585,1,1,502484,1550243607.5891116,Line2
586,0,0,2484,1550243589.0478907,Line1
587,1,1,2485,1550243604.0721703,Line1
588,1,1,502485,1550243622.591007,Line2
589,1,1,2486,1550243619.073838,Line1
590,1,1,502486,1550243637.6000152,Line2
591,1,1,2487,1550243634.083811,Line1
592,1,1,2488,1550243649.088946,Line1
593,1,1,502487,1550243652.606211,Line2
594,1,1,2489,1550243664.096282,Line1
595,0,0,502488,1550243667.6145253,Line2
596,1,1,2490,1550243679.101539,Line1
597,1,1,502489,1550243682.6200974,Line2
598,1,1,2491,1550243694.1101952,Line1
599,0,0,502490,1550243697.6274729,Line2
600,1,1,2492,1550243709.11648,Line1
601,1,1,502491,1550243712.634801,Line2
602,1,1,2493,1550243724.1251423,Line1
603,1,1,502492,1550243727.6432884,Line2
604,1,1,2494,1550243739.13309,Line1
605,1,1,502493,1550243742.6503384,Line2
606,1,1,2495,1550243754.13922,Line1
607,1,1,502494,1550243757.6647713,Line2
608,1,1,2496,1550243769.1545482,Line1
609,1,1,502495,1550243772.6719134,Line2
610,1,1,2497,1550243784.1619825,Line1
611,1,1,502496,1550243787.679273,Line2
612,1,1,2498,1550243799.1691341,Line1
613,1,1,502497,1550243802.6832135,Line2
614,1,1,2499,1550243814.1732562,Line1
615,1,1,502498,1550243817.6905766,Line2
616,1,1,2500,1550243829.1804476,Line1
617,0,0,502499,1550243832.698628,Line2
618,1,1,2501,1550243844.1885092,Line1
619,1,1,502500,1550243847.7020607,Line2
620,1,1,502501,1550243862.7096334,Line2
621,0,0,2502,1550243859.1912084,Line1
622,1,1,2503,1550243874.2056656,Line1
623,0,0,502502,1550243877.7210753,Line2
624,1,1,502503,1550243892.7245896,Line2
625,0,0,2504,1550243889.2207246,Line1
626,1,1,2505,1550243904.2265513,Line1
627,1,1,2506,1550243919.2317474,Line1
628,0,0,502504,1550243907.7284174,Line2
629,1,1,502505,1550243922.7338006,Line2
630,0,0,2507,1550243934.2393782,Line1
631,0,0,502506,1550243937.7420073,Line2
632,1,1,2508,1550243949.246919,Line1
633,1,1,502507,1550243952.7488945,Line2
634,1,1,2509,1550243964.2537515,Line1
635,1,1,502508,1550243967.756359,Line2
636,1,1,2510,1550243979.2650676,Line1
637,1,1,502509,1550243982.7667093,Line2
638,1,1,2511,1550243994.2703824,Line1
639,1,1,502510,1550243997.77395,Line2
640,1,1,2512,1550244009.2773516,Line1
